PersonID	x	y	Time	Width	Distance		preName	CurrentName	input	
0	0.552042	0.1412742	3.00061	2	23	-1	0	AirTap	
0	-1.191257	-0.1414507	1.499649	2	23	0	1	AirTap	
0	0.2280674	0.6391894	1.734116	2	23	1	2	AirTap	
0	-0.04720693	-0.1787332	1.199585	2	23	2	3	AirTap	
0	0.2251519	0.03474002	0.867157	2	23	3	4	AirTap	
0	-0.1362493	-0.7188553	1.332779	2	23	4	5	AirTap	
0	-0.334163	0.8402573	1.001114	2	23	5	6	AirTap	
0	0.5038646	-0.4559362	1.431976	2	23	6	7	AirTap	
0	0.4798818	0.5717651	1.933334	2	23	7	8	AirTap	
0	-0.01184205	-0.4191887	1.200867	2	23	8	9	AirTap	
0	0.5183545	0.7513497	2.733353	2	23	9	10	AirTap	
0	0.0551939	-0.6852428	1.166016	2	23	10	11	AirTap	
0	-0.3362032	0.5957731	1.200165	2	23	11	12	AirTap	
0	0.4984902	-0.4013012	3.134781	2	23	12	13	AirTap	
0	-0.3633943	0.7055247	1.366653	2	23	13	14	AirTap	
0	0.5914745	-0.008284752	1.264923	2	23	14	15	AirTap	
0	-0.2945134	-0.347154	0.9676514	2	23	15	16	AirTap	
0	-0.04627177	0.08105902	1.099609	2	23	16	17	AirTap	
0	-1.33942	-0.3210132	1.033463	2	23	17	18	AirTap	
0	-0.2519796	0.2686335	1.134399	2	23	18	19	AirTap	
0	-0.2462123	-0.3998294	1.064758	2	23	19	20	AirTap	
0	0.5881209	0.1555368	1.500107	2	26	20	0	AirTap	
0	-1.123492	-0.5971791	1.400635	2	26	0	1	AirTap	
0	-6.923351	2.061236	1.533386	2	26	1	2	AirTap	
0	-0.83389	-0.488981	2.034607	2	26	2	3	AirTap	
0	-0.434359	-0.6996327	1.665207	2	26	3	4	AirTap	
0	-0.6363739	-0.7426726	1.167618	2	26	4	5	AirTap	
0	-0.1840671	0.4476834	1.134689	2	26	5	6	AirTap	
0	0.05503478	-0.5036902	1.199677	2	26	6	7	AirTap	
0	-0.5056544	0.07882041	1.064285	2	26	7	8	AirTap	
0	-0.2173168	-0.8098361	1.134766	2	26	8	9	AirTap	
0	-0.2594071	0.225733	1.032654	2	26	9	10	AirTap	
0	0.5876789	-0.2912377	1.06572	2	26	10	11	AirTap	
0	-0.409538	0.6353741	1.000366	2	26	11	12	AirTap	
0	0.6765238	0.1301599	1.034973	2	26	12	13	AirTap	
0	-0.4966442	0.81047	1.765549	2	26	13	14	AirTap	
0	1.512399	0.08968275	1.732452	2	26	14	15	AirTap	
0	-0.5325459	-0.5039324	1.635223	2	26	15	16	AirTap	
0	0.5264118	-0.1736874	1.599762	2	26	16	17	AirTap	
0	0.05643316	-0.5410557	1.533051	2	26	17	18	AirTap	
0	1.337062	-0.3632324	1.599625	2	26	18	19	AirTap	
0	-0.001465565	-0.2169444	1.766251	2	26	19	20	AirTap	
0	1.21686	0.1296866	1.400024	2	20	20	0	AirTap	
0	-0.7691198	-0.9579399	1.333282	2	20	0	1	AirTap	
0	-0.1986997	0.4975154	1.035034	2	20	1	2	AirTap	
0	-0.7149929	-0.01691154	1.200592	2	20	2	3	AirTap	
0	-0.3754811	0.3458447	0.9313049	2	20	3	4	AirTap	
0	-0.3154749	-0.6721265	1.165924	2	20	4	5	AirTap	
0	0.5038549	1.162014	0.967453	2	20	5	6	AirTap	
0	0.3763389	-0.09386452	1.066269	2	20	6	7	AirTap	
0	-0.07383795	0.4118917	1.069046	2	20	7	8	AirTap	
0	-0.1829062	-0.3605359	1.031036	2	20	8	9	AirTap	
0	-0.3357261	-0.3523972	0.9336853	2	20	9	10	AirTap	
0	0.02916145	-0.2855147	0.9659424	2	20	10	11	AirTap	
0	-0.4144589	0.6691837	0.9356232	2	20	11	12	AirTap	
0	0.9125299	-0.1973135	0.9645691	2	20	12	13	AirTap	
0	-0.6199126	-0.09138256	1.235321	2	20	13	14	AirTap	
0	0.4417686	-0.0144883	1.031769	2	20	14	15	AirTap	
0	-0.9288124	-0.1742832	0.9330902	2	20	15	16	AirTap	
0	-0.02386674	-0.0425198	0.9999695	2	20	16	17	AirTap	
0	-0.2331634	-0.5638903	1.033188	2	20	17	18	AirTap	
0	-0.2764682	-0.03042228	1.003693	2	20	18	19	AirTap	
0	-0.5436663	-0.02746837	0.9972534	2	20	19	20	AirTap	
